station_name,gage_id,lat,lon,upstream_gage_mainline,upstream_gage_trib,upstream_gage
" BELLE FOURCHE RIVER NEAR ELM SPRINGS,SD",06438000,44.369989,-102.5665256,06437000,06430850,06437000
ANDREWS CREEK-LOCH VALE-RMNP,401723105400000,40.29,-105.6666667,,,
ANDREWS SPRING 1,401727105400000,40.29081794,-105.6672272,,,
"ANNIE CREEK NEAR LEAD, SD",06430800,44.32749778,-103.894532,,,
ANTELOPE CR NEAR MISSION SD,06463900,43.27378198,-100.6846396,,,
"ANTELOPE CREEK NR CARSON, ND",06347000,46.5452839,-101.6454228,,,
"APPLE CREEK NR MENOKEN, ND",06349500,46.79443787,-100.6573459,,,
"Adair Creek at Independence, MO",06893830,39.03777778,-94.3633333,,,
Agency Canal Tailwaste near Hardin MT,06293890,45.7305341,-107.567306,,,
"Antelope Creek at 27th Street at Lincoln, Nebr.",06803300,40.80473611,-96.68465,,,
"Arikaree River at Haigler, Nebr.",06821500,40.01773333,-101.99595556,,,
"Auxvasse Creek near Reform, MO",06927240,38.76,-91.8402778,,,
"BAD RIVER NEAR FORT PIERRE, SD",06441500,44.32662738,-100.3843468,06441000,06441110,06441000
"BAD RIVER NEAR MIDLAND,SD",06441000,44.0672095,-101.1608623,06440200,06440200,06440200
"BATTLE CREEK AT HERMOSA,SD",06406000,43.82804586,-103.1960211,06404000,06404000,06404000
"BATTLE CREEK BELOW HERMOSA,SD",06406500,43.72543145,-102.9061231,06404000,06404000,06404000
"BATTLE CREEK NEAR KEYSTONE,SD",06404000,43.87164727,-103.3363029,,,
BEAR BUTTE CR NEAR STURGIS SD,06437500,44.4808495,-103.2759863,06437200,06437200,06437200
"BEAR BUTTE CREEK NEAR DEADWOOD, SD",06437020,44.3355403,-103.6354716,,,
"BEAR BUTTE CREEK NEAR GALENA,SD",06437200,44.3963735,-103.5826922,06437020,06437020,06437020
"BEAR CREEK ABOVE BEAR CREEK LAKE NEAR MORRISON, CO",06710605,39.65202778,-105.17325,06710385,06710385,06710385
"BEAR CREEK ABOVE EVERGREEN, CO",06710385,39.63316667,-105.3369444,,,
"BEAR CREEK NEAR OAKES, ND",06470800,46.22524359,-98.0717809,,,
