STAID,STREAMS_KM_SQ_KM,STRAHLER_MAX,MAINSTEM_SINUOUSITY,REACHCODE,ARTIFPATH_PCT,ARTIFPATH_MAINSTEM_PCT,HIRES_LENTIC_PCT,BFI_AVE,PERDUN,PERHOR,TOPWET,CONTACT,RUNAVE7100,WB5100_JAN_MM,WB5100_FEB_MM,WB5100_MAR_MM,WB5100_APR_MM,WB5100_MAY_MM,WB5100_JUN_MM,WB5100_JUL_MM,WB5100_AUG_MM,WB5100_SEP_MM,WB5100_OCT_MM,WB5100_NOV_MM,WB5100_DEC_MM,WB5100_ANN_MM,PCT_1ST_ORDER,PCT_2ND_ORDER,PCT_3RD_ORDER,PCT_4TH_ORDER,PCT_5TH_ORDER,PCT_6TH_ORDER_OR_MORE,PCT_NO_ORDER
03144816,1.09540249555428,3,1.6151824235877,05040006000209,0.430831048408704,0,0.2574424,26.74978,2.660094,8.076853,13.0771,1415.948,419.7083,22,28.19524,56.56741,57.19917,44.20555,29.20868,20.58134,14.548,9.938132,7.978661,17.59251,24.09556,332.110253,69.0549280031759,23.4766854668227,7.29875266889008,0,0,0,0.169633861111279
03145000,1.08790322743847,4,2.15751802617026,05040006000195,5.3543743990918,0,3.50633439,30.18498,2.805832,8.292717,13.77494,3736.326,421.1946,21.968,28.13344,58.26347,60.00054,45.87836,29.76114,21.33168,15.46107,10.72705,8.519396,17.58057,23.78943,341.4142,66.7105494632817,17.9943630891292,11.5372540495034,1.71973455602816,0,0,2.03809884205755
03156000,0.782413948536212,2,1.28571932631051,05030204000353,3.31806977960389,0,0.8218507,32.46954,2,2.941176,11.82239,169.7518,402,20.18679,27.18679,57.69396,56.18801,43.12419,26.07194,18.61702,14.32038,9.743443,7.625306,14.61702,20.92194,316.2968,72.4923280776713,27.5076719223287,0,0,0,0,0
03157000,0.890629567150465,3,1.68625445320879,05030204000358,0.382707021055317,0,0.183243079,31.9958,1.88876,3.77747,12.43373,311.7591,400.7945,21.44977,28.11093,60.49485,58.99786,45.47849,27.22614,19.1031,14.18325,10.09383,8.47082,15.75727,22.53692,331.9032,67.4603618453327,18.6763946939817,13.8632581778223,0,0,0,-1.47171366385679e-05
03157500,0.851129812038382,5,1.32479327597155,05030204000237,1.20617885539236,1.31450263274283,0.8178789834,32.94735,1.99965,5.561895,12.81943,344.1748,401.0452,21.36073,28.96448,61.54573,59.26583,45.29451,27.83706,19.68303,14.89232,10.66982,8.64381,15.98909,22.22486,336.3713,66.670351230018,15.7393532017839,9.15576950499334,4.66549016329762,3.76906933633606,0,-3.3436428994407e-05
03219500,0.796419617994594,5,1.76481553274232,05060001000332,0.237358385775135,0,0.145946754,25.46167,2.579055,10.64031,14.67205,7245.624,324.9446,13.34272,15.75875,45.8627,56.42851,39.8548,25.14975,16.71844,10.31146,7.3397,6.403399,13.73486,15.81995,266.725,59.0048319085398,22.5673284373411,9.22450217670858,4.67953979382148,2.67055099137434,0,1.8532466922147
03220000,0.816488381386939,4,1.66576182708843,05060001001394,0.829420293528146,0,0.261122995,27.6497,2.624507,11.391,13.97643,4587.112,325.0152,16.21294,20.58854,48.74674,53.91445,40.30237,26.6951,17.66279,11.21545,7.807871,6.711424,13.98462,18.15822,282.0005,59.4657177373538,16.1914311239522,7.24934052263977,17.0935079760328,0,0,2.64002146643578e-06
03221000,0.771041481958055,5,1.72534038473568,05060001002493,1.35988645747421,12.0085420060001,0.170674649,25.48541,2.528368,10.73826,14.73189,6629.164,324.9706,14.61975,17.76876,47.4118,55.71049,40.03745,25.72214,17.02006,10.66277,7.564013,6.512626,13.94826,16.82972,273.8078,58.7725542132998,20.4881880869896,9.93029009921997,6.20503594377009,3.33896331135512,0,1.26496834536546
03223000,0.834003412108448,5,2.4232045771138,05060001000293,0.40825595230435,0,0.224367852,23.55748,2.01892,8.68376,13.76284,1937.86,325.1067,17.51314,18.30736,50.85527,66.21536,48.90276,32.73765,21.6339,13.65654,10.94945,9.10342,19.57951,22.63632,332.0907,58.0450434219008,12.0456874676076,14.5392733339339,11.5998510680863,2.15431183043523,0,1.61583287803612
03224500,0.980134639823214,4,1.5488416811708,05060001000260,0.850767818870672,0,0.539114865,24.1386,2.241176,8.704501,13.49151,1865.479,325.3907,17.87437,19.19376,51.82023,66.70638,49.22812,32.1245,21.76477,13.79059,11.53221,9.148456,20.0609,23.30912,336.5534,62.11071649123,13.0683614075861,14.8941092969774,9.92680082855538,0,0,1.19756510986266e-05
