STAID,CANALS_PCT,RAW_DIS_NEAREST_CANAL,RAW_AVG_DIS_ALLCANALS,CANALS_MAINSTEM_PCT,NPDES_MAJ_DENS,RAW_DIS_NEAREST_MAJ_NPDES,RAW_AVG_DIS_ALL_MAJ_NPDES,FRESHW_WITHDRAWAL,MINING92_PCT,PCT_IRRIG_AG,POWER_NUM_PTS,POWER_SUM_MW
03144816,0,-999,-999,0,0,-999,-999,15.2882609916,0,0,0,0
03145000,3.78372194499468,6.1287,9.220325,0,0.28910114695098,5.858766,5.858766,13.951998265,0,0,0,0
03156000,0,-999,-999,0,0,-999,-999,13.58815,0,0,0,0
03157000,0,-999,-999,0,0,-999,-999,13.01299654,0.44985,0,0,0
03157500,0.620439492356334,25.75653,28.79783,0,0.0837021809440267,18.97699,18.97699,10.16891726,0.090549,0.01993356,0,0
03219500,1.81347465918169,12.7549,41.66905,0,0.204149960394908,19.09932,34.36793,9.29090324,0.06785943,0.02552106,1,1.8
03220000,0.725520665031965,18.36811,35.43193,0,0,-999,-999,8.99334168,0.1055356,0.05377789,0,0
03221000,1.21968514793956,25.7131,65.97316,0,0.117690442751446,50.28347,62.34173,10.474809605,0.1344849,0.1219512,2,7
03223000,0.760792006579679,24.22417,24.64067,0,0.243931115804346,21.50449,21.50449,8.169040595,0.008122906,0,2,54.9
03224500,3.14213660784892,9.719848,12.67692,0,0,-999,-999,3.7230391715,0,0,0,0
03225500,1.35150692999314,14.22594,31.39742,0,0.196162665929095,21.69688,34.0457,9.35937389,0.003266108,0,2,54.9
03226800,1.11258256574662,40.76169,55.79084,0,0.312912898347898,3.505189,35.94331,14.80978903,0.002605001,0.241371,2,54.9
03227500,1.66514329473219,12.80243,64.0632,0,0.190244273647363,3.649552,63.12659,27.11251518,0.126082,0,7,64.7
03228500,0,-999,-999,0,0,-999,-999,20.479245905,0.1662536,0.3060444,0,0
03228805,0,-999,-999,0,0,-999,-999,13.403264105,0,0.1152516,0,0
03229000,0,-999,-999,0,0,-999,-999,58.44369295,0.001433484,0,0,0
03229500,0,-999,-999,0,0.140449240942077,9.339305,12.80655,78.4462446,0.07363054,0.1739887,0,0
03229610,1.15077846543353,26.49936,77.71766,0,0.204115304735645,4.758473,57.03395,46.4018758938,0.1691913,0.04998751,8,170.9
03229796,3.63976701440211,18.95907,24.99031,5.84541619964415,0.283800658417527,25.7155,30.11864,51.4798453098,0,0.115371,0,0
03230450,19.3431864970835,17.09342,19.43516,0,0,-999,-999,197.39482795,0,0.3870968,0,0
03230500,10.5596210457526,22.08171,46.56993,1.09706585803736,0.0726244892682792,11.12818,11.12818,41.0026779,0.02143897,0.1263854,0,0
03230800,6.99058148449396,9.766715,19.31215,0,0.168252021337721,23.56894,23.56894,9.28463528,0,0.08536065,0,0
03230900,5.8979161746857,20.97138,29.55202,0,0.138931610359074,34.29505,34.29505,13.425815135,0,0.2483855,1,0
03231000,4.91150440497248,28.04415,37.19986,0,0.115969296896708,42.00726,42.00726,24.98202195,0.03110297,0.7319305,2,564
03231500,2.95327929506426,10.78097,85.76334,0,0.20058072130432,4.03515,79.1663,46.70557525,0.1178993,0.1666219,10,734.9
03232000,6.80987391702706,18.76555,38.18328,0,0.154645743716125,17.81759,17.81759,5.029799445,0,0.2995169,0,0
03232470,2.64300811276337,33.16591,52.31179,0,0.135636440085993,10.32448,21.25945,5.656201805,0,0,0,0
03232500,0,-999,-999,0,0.275295984477711,18.45183,18.45183,4.394714295,0,0.1031814,0,0
03234000,1.73620760471822,37.78759,57.36454,0,0.143508603579966,20.09446,31.60483,8.39341161,0,0,0,0
03234300,1.18101248736883,44.6862,62.61829,0,0.101886357994021,34.28008,44.47341,12.74658553,0,0,0,0
03234500,2.4697504384366,27.67984,99.22234,0,0.188193209687885,14.25564,83.29514,38.76631065,0.08849445,0,11,827.7
03237020,2.16106513075508,40.73193,110.4736,0,0.181097572018145,5.205507,89.98749,35.73779568429,0.09334374,0,12,831.3
03240000,6.02820962975438,24.13373,29.11686,0,0,-999,-999,28.445505125,0.01380883,3.285768,0,0
03244000,0,-999,-999,0,0.177596487283559,22.84515,22.84515,5.53664501,0.04986909,0.02221729,0,0
03244936,0,-999,-999,0,0.724540025764643,5.921921,5.921921,600.444073,0,0.09013069,0,0
03245500,0.690244975637824,21.97254,81.03729,0,0.481611278693999,6.389715,40.99773,80.2158078,0.05155181,0.4885359,0,0
03247050,2.94716425142358,31.77411,38.82773,0,0,-999,-999,227.70465375,0.1182992,0.01378835,1,0
03247500,2.10517059980177,34.10949,39.13423,0,0.081079393753157,7.855241,7.855241,349.12904345,0.09318454,0,1,0
03255500,3.35972601061336,1.902168,12.55923,0,0.495341805659577,9.426767,9.426767,329.6169521,0,0,1,32
03259000,2.15536008903001,4.618633,14.29999,0,0.645218319296609,9.272813,10.59245,405.120662,0,0,1,32
03260700,0,-999,-999,0,1.07304991152167,9.774727,9.774727,7.60785,0.01062319,0,0,0
03260706,0,-999,-999,0,0.970207828218883,12.49369,12.49369,7.60785,0.009605058,0,0,0
03261500,0.787101248801456,39.73234,43.2896,0,0.14251815324977,28.6064,30.52014,9.336493565,0.1274967,0.04323805,1,1.8
03261950,0.949893022862997,10.22639,11.29251,0,0,-999,-999,9.894175465,0.01687783,0.03167063,0,0
03262000,1.94774935245613,9.764656,16.26797,0,0,-999,-999,9.62456613,0.009985211,0,0,0
03262700,1.05024575604976,24.08575,46.48396,0,0.166831760596424,10.55889,34.94678,10.35903024,0.07740159,0.2101242,3,51.6
03263000,0.880718142519334,21.13098,61.28163,0,0.168066718453625,17.14396,44.7095,14.055805675,0.06237965,0.2702118,3,51.6
03264000,13.7314244686399,6.469844,20.34745,0,0.200191903959135,15.54671,15.54671,6.82565704,0,0.2252534,1,236
03265000,5.90874987977238,11.57498,24.22526,0,0.0768635963246903,22.28751,22.28751,8.699008725,0,0.1550989,4,244.4
03266000,4.79996075413,25.35456,37.31253,0,0.0598415037930537,37.80157,37.80157,23.50738595,0.009855894,0.2942138,4,244.4
03266560,3.72840916186892,11.1445,11.75475,0,0,-999,-999,7.60785,0,0,0,0
03267000,4.7663013295874,2.503343,14.40352,0,0,-999,-999,9.376841665,0,0.03829217,0,0
03267900,6.86241443069861,3.987142,18.81885,0,0.24924208597182,6.443033,11.17432,11.64237991,0,0.1330893,0,0
03269500,7.04223448829066,9.547963,23.37098,0,0.237046214529985,1.84702,11.69055,17.159823615,0,0.5053954,1,54
03270000,6.38802079809879,11.38196,41.13877,0,0.304947963679478,6.173041,23.45056,23.91621137,0,0.2687269,1,54
03270500,3.25672626095822,20.85479,53.23702,0,0.20046325516243,6.179509,39.80929,27.114729405,0.03115661,0,9,363.5
03271000,0,-999,-999,0,0,-999,-999,294.6630285,0.2879136,0,0,0
03271300,0,-999,-999,0,0,-999,-999,289.411705626,0,0,1,125.5
03271500,3.02102922734558,35.57187,64.63329,0,0.242584270208055,1.899104,42.44714,47.03986645,0.03625494,0,12,1169.6
03271601,3.01627087463475,38.52748,68.0073,0,0.270680333649127,0.05777235,41.31643,47.4448353993,0.03619566,0,13,1616.2
03271800,1.38232401775002,28.94678,31.17665,0,0,-999,-999,26.42680944,0,0.02403557,0,0
03272000,0.899607643113577,40.42275,42.52056,0,0,-999,-999,55.98987745,0,0,0,0
03274000,2.36411058976033,21.10721,91.0487,0,0.308391021950422,2.596641,54.67831,57.8438083,0.03970914,0.03748407,22,3151.2
03274650,0,-999,-999,0,0,-999,-999,4.65555,0,0,0,0
03274750,0,-999,-999,0,0,-999,-999,11.148986235,0,0,0,0
03274950,0,-999,-999,0,0,-999,-999,9.34895,0,0,1,83.6
03275000,0,-999,-999,0,0.0730546105129968,5.526691,5.526691,11.46789141,0.008678638,0.05787646,2,166.4
03275500,0,-999,-999,0,0,-999,-999,10.379654705,0,0,1,0
03275600,0,-999,-999,0,0.192213470742899,8.890328,8.890328,11.53164595,0,0.06079027,2,93.9
03276000,0,-999,-999,0,0.101298525539182,42.05365,42.05365,7.93400345,0,0.02684204,2,93.9
03276500,0.971299931618941,3.242266,10.38744,0,0.0630334203194534,27.04258,36.12227,12.85295917,0.003744185,0,4,260.3
03277000,0,-999,-999,0,0.155740824840786,41.28446,41.28446,37.82105232,0,0,0,0
03294000,0,-999,-999,0,0,-999,-999,43.13261095,0.8720348,0.0638488,0,0
03322500,2.44953277141146,1.889122,12.02321,0,0.12521565265779,18.98335,18.98335,10.065575405,0.06851801,0,0,0
03322900,5.72131349610069,3.086847,18.36438,0,0.0773083699452889,40.34546,40.34546,9.0655292,0.04230316,0.1009464,0,0
03322985,5.49649163117058,14.70142,29.57191,0,0.0696213988331454,51.45585,51.45585,8.95704826953,0.03809691,0,0,0
03323000,5.84953682165655,2.302939,30.18679,0,0.0667175054057859,54.77737,54.77737,8.90108609,0.03650781,0,0,0
03323500,9.42464888090562,5.517185,41.83717,0,0.100653847392663,29.85133,57.3758,8.54191987,0.05430778,0.1920615,1,7
03324000,15.9972203256251,7.003934,17.15022,0,0.292963929255656,21.05564,21.07484,21.717372395,0.257735,0.1100413,0,0
03324200,2.39027099259825,14.40066,15.96821,0,0.449285949839919,4.063497,4.063497,5.1476,0.1694257,0.1405284,0,0
03324500,13.524439797384,10.54914,52.5738,0,0.0694132085006192,72.91712,72.91712,7.77268675,0.0315483,0.2103967,1,236
03325000,10.9128040713925,20.97016,59.74484,0,0.127745653294465,27.21679,63.94402,10.264893505,0.07270004,0.3194888,3,347.6
03325500,6.41433099136241,10.98084,15.92877,0,0.289594689065078,16.18468,16.18468,5.30726644,0,0.03694809,0,0
03326070,0,-999,-999,0,0,-999,-999,10.683787025,0,0,0,0
03326500,15.5993863287866,6.250364,37.18313,0,0.169520449251793,10.92018,40.10051,12.823727615,0.0455671,0.04167631,0,0
03327000,13.945629267817,11.41902,66.21834,0,0.190768065616584,29.68716,59.44117,13.00303442,0.03845885,0.7447012,1,0
03327500,11.2455103199201,23.17502,79.60381,0,0.183636102179648,2.011331,63.55278,11.130545715,0.06004476,0.6347122,6,383.9
03328000,15.682192169522,12.28254,34.02383,12.8709888150784,0.276151043574794,0.671165,22.35294,12.89639583,0,1.230805,0,0
03328430,0,-999,-999,0,0,-999,-999,13.1718,0,0,0,0
03328500,12.1847529721558,8.070588,66.02513,6.56932421767124,0.146767734189935,47.37058,69.04371,14.83798728,0,1.110368,0,0
03329000,11.1751351243344,10.54728,91.36127,0,0.181604109095642,1.973576,76.5855,12.922788635,0.04651789,0.6106265,7,444.9
03329400,0,-999,-999,0,0,-999,-999,7.377203455,0,4.20712,0,0
03329500,11.2993834038128,11.35224,109.9475,0,0.178072858041255,31.43103,100.5298,13.92579471,0.06262164,0.7266582,7,444.9
03329700,33.733481971146,0.7730328,27.36403,0,0,-999,-999,24.305668945,0,0.1662583,0,0
03330241,2.50701762854032,15.3461,17.83252,0,0,-999,-999,10.118466995,0,3.277887,0,0
03330500,6.25810088626971,12.23214,16.11361,0,0,-999,-999,12.85849284,0,2.041588,0,0
03331110,0,-999,-999,0,0,-999,-999,19.4549,0,5.31401,0,0
03331500,38.476206995423,0.5262061,30.2503,0,0.225430448169257,29.78531,50.66193,13.29278374,0.003489664,6.998932,0,0
03331753,44.6854887247241,1.133849,28.91719,0.162928076410757,0.204890322210521,31.61775,55.54945,13.13646009654,0.003171698,6.397306,0,0
03332500,49.9584041434999,4.994702,42.25475,0.12985940127817,0.111506687279049,56.03399,81.1248,12.96334491,0.01712074,5.122406,0,0
03333000,49.1190856422218,4.854904,55.97111,0.117087163214321,0.124293804036731,13.28698,79.67351,12.45975823,0.01590339,1.495804,2,19.1
03333050,48.9360277058917,7.482974,58.42232,0.112850752640931,0.12396514926437,15.93818,82.11031,12.45835778,0.01586134,0,2,19.1
03333450,8.78825089608999,9.302424,12.01366,0,0,-999,-999,11.052029675,0,0,0,0
03333600,24.0304101941425,4.595739,5.419399,36.4824171031714,0,-999,-999,30.76782594,0,0,0,0
03333700,8.568085102102,10.87193,18.88132,0,0.160156466461474,0.5780159,0.5780159,20.17868284,0,0,0,0
03334000,7.86533458873363,32.70574,46.59212,0,0.0976488119069055,40.91304,40.91304,22.08181869,0.009227816,0,0,0
03334500,9.23440019640234,17.60823,25.98809,0,0.157576026887513,25.74386,25.74386,13.21763635,0,0.3754941,1,0
03335000,7.09842286617774,23.08345,47.64725,0,0.0971910333496452,31.46662,44.3092,18.08958994,0.004592276,0.5810488,1,0
03335500,23.8970200911074,12.55824,87.85263,0,0.14780272769934,25.39848,108.9696,14.620232445,0.04068587,2.189092,11,471.4
03335690,7.35246947201614,3.61152,5.61736,0,0,-999,-999,1.17335,0,0,0,0
03336000,21.9750240572818,36.68456,130.8857,0,0.154137182092062,48.54875,143.3038,14.580860875,0.03860716,0.6288975,14,520.1
