STAID,DEVNLCD06,FORESTNLCD06,PLANTNLCD06,WATERNLCD06,SNOWICENLCD06,DEVOPENNLCD06,DEVLOWNLCD06,DEVMEDNLCD06,DEVHINLCD06,BARRENNLCD06,DECIDNLCD06,EVERGRNLCD06,MIXEDFORNLCD06,SHRUBNLCD06,GRASSNLCD06,PASTURENLCD06,CROPSNLCD06,WOODYWETNLCD06,EMERGWETNLCD06
03144816,12.8832806,22.4436193532,62.80924,0.2336327,0,7.306602,4.378753,1.007448,0.1904776,0.005208372,22.34094,0.1019353,0.0007440532,0.377979,1.098222,15.54401,47.26523,0.1361617,0.0126489
03145000,14.2064295,18.383277646,62.15807,3.512319,0,8.122383,4.436517,1.254641,0.3928885,0.005464012,18.26385,0.1178665,0.001561146,0.5156986,0.8198619,13.79897,48.3591,0.3790983,0.01977452
03156000,6.65174571,26.21879133,66.42653,0.3112541,0,5.829895,0.7833811,0.03846961,0,0,25.90404,0.2832762,0.03147513,0.04546408,0.279779,22.18298,44.24355,0.0664475,0
03157000,5.96759037,37.92542303,55.19706,0.1631886,0,5.339216,0.5088338,0.1061709,0.01336967,0.009044187,36.19759,1.684185,0.04364803,0.1317305,0.5756822,11.76609,43.43097,0.02595288,0.004325481
03157500,9.9790729,40.96853007,47.18838,0.5952731,0,6.995325,1.924882,0.7743371,0.2845288,0.09717821,39.17337,1.781073,0.01408707,0.1826046,0.7725291,16.97884,30.20954,0.2131894,0.003239274
03219500,8.2523929,6.355819603,83.390919,0.4246114,0,4.857278,2.430874,0.6393976,0.3248433,0.06485843,6.332669,0.01916968,0.003980923,0.0003062249,1.117537,4.508059,78.88286,0.02719277,0.3663674
03220000,10.3281304,12.3730735,75.89036,0.3903264,0,5.697175,3.500134,0.8894864,0.241335,0.1460814,12.23708,0.1359935,0,0,0.7049931,12.60122,63.28914,0.003103988,0.1639293
03221000,8.9364828,7.477626993,81.515196,0.574447,0,5.401497,2.691216,0.5932304,0.2505394,0.1324371,7.41877,0.05656203,0.002294963,0.007026119,1.078456,6.508446,75.00675,0.02450315,0.253823
03223000,9.3619785,12.53430617,77.159709,0.1969256,0,5.893278,2.743786,0.5036202,0.2212943,0.008561982,12.1286,0.07091077,0.3347954,0.0987921,0.2634456,3.764199,73.39551,0.3530171,0.02327103
03224500,9.4572226,20.659259153,68.219332,0.5648205,0,6.77679,2.150121,0.395797,0.1345146,0.01760663,20.41171,0.2415629,0.005986253,0.2176179,0.2626908,8.514212,59.70512,0.5943997,0.00704265
03225500,10.2139128,14.5047844,73.549825,0.8204991,0,6.065603,3.121428,0.7118348,0.315047,0.02348066,14.24226,0.1010728,0.1614516,0.1844909,0.3281997,4.810535,68.73929,0.3575064,0.01730154
