STAID,MAINS100_DEV,MAINS100_FOREST,MAINS100_PLANT,MAINS100_11,MAINS100_12,MAINS100_21,MAINS100_22,MAINS100_23,MAINS100_24,MAINS100_31,MAINS100_41,MAINS100_42,MAINS100_43,MAINS100_52,MAINS100_71,MAINS100_81,MAINS100_82,MAINS100_90,MAINS100_95
03144816,14.4072236,36.10312,45.42005,1.68804,0,8.113059,4.61921,1.321644,0.3533106,0,36.10312,0,0,0.1177702,2.224549,13.00707,32.41298,0.03925674,0
03145000,12.2131381,36.08004,47.48996,1.355422,0,6.705393,3.944349,1.140275,0.4231211,0,36.08004,0,0,0.172117,1.384108,12.88009,34.60987,1.262192,0.04302926
03156000,6.6159252,27.7517621,64.900471,0.5269321,0,5.679157,0.9367682,0,0,0,26.93209,0.8196721,0,0.05854801,0,8.050351,56.85012,0.14637,0
03157000,6.840358,33.547929,57.982094,0.5331455,0,6.468162,0.372196,0,0,0,30.2887,3.259229,0,0.1508902,0.5834423,5.049794,52.9323,0.3621366,0
03157500,25.326466,27.8486683,40.08657,4.417581,0,11.95433,9.081411,2.992314,1.298411,0,27.71435,0.1343183,0,0.1343183,0.462652,13.33483,26.75174,1.664055,0.05969704
03219500,13.0751134,15.270294,59.495945,3.969286,0,8.932442,3.430553,0.4613289,0.2507895,0.01548083,15.23314,0.037154,0,0,1.823642,3.622515,55.87343,0.5511177,5.799121
03220000,9.5516039,32.58676,52.86186,1.864169,0,6.375277,2.447853,0.6198815,0.1085924,0,32.58676,0,0,0,0.9456586,11.92254,40.93932,0.02262341,2.167323
03221000,13.5565545,13.95882565,52.534314,13.31756,0,9.297208,3.632276,0.4070043,0.2200662,0.01183152,13.93043,0.02839565,0,0,1.611453,4.645054,47.88926,0.4614292,4.548036
03223000,13.6514048,45.1597394,39.480181,0.22261,0,7.646953,4.506347,0.9746706,0.5234342,0,44.69647,0.1804946,0.2827748,0,1.058901,5.390771,34.08941,0.4271705,0
03224500,10.4831919,47.9669226,33.854049,4.854889,0,6.662072,2.634199,0.8193583,0.3675626,0,47.59936,0.3675626,0,0.1608086,0.4058504,9.709779,24.14427,2.274294,0
03225500,10.718514,42.0008893,34.072069,12.15036,0,6.796655,2.922895,0.6770756,0.3218884,0,41.42741,0.2071925,0.3662868,0,0.7288738,3.914459,30.15761,0.3292882,0
03226800,15.674985,40.6566566,30.377758,12.45146,0,8.744534,4.0491,2.286614,0.594737,0.01629416,40.20042,0.1873829,0.2688537,0.01629416,0.5648643,4.744318,25.63344,0.2416968,0
03227500,19.5787787,13.34305743,42.622925,18.86459,0,10.88755,5.757675,2.119531,0.8140227,0.08831378,13.30658,0.02303838,0.01343905,0,1.307428,3.768695,38.85423,0.5049245,3.68998
03228500,5.6757583,44.50505866,22.752067,22.18204,0,4.076004,1.164572,0.4351823,0,0.04903463,44.4928,0.01225866,0,0.3677597,0.1961385,4.321177,18.43089,4.272142,0
03228805,4.60992911,45.8333294,16.646207,29.86225,0,3.798418,0.5114566,0.2659574,0.03409711,0.05455538,45.4719,0.3614294,0,0.4159847,0.2318603,4.275777,12.37043,2.304965,0.04091653
03229000,22.629466,41.5599236,12.813359,20.48615,0,11.31262,6.159374,3.741281,1.416191,0.03381949,41.30205,0.2578736,0,0.2747833,0.4523357,4.874234,7.939125,1.724794,0.02536462
03229500,18.7701388,42.9717051,14.186164,18.58103,0,11.1045,4.710043,2.37078,0.5848158,0.02801513,42.81412,0.09455106,0.06303404,0.3046645,0.6408461,3.211234,10.97493,4.401877,0.1155624
03229610,18.0787323,15.49307969,40.210468,20.30319,0,10.07519,5.318909,1.937937,0.7466963,0.866515,15.38368,0.02083804,0.08856165,0,1.20687,3.526838,36.68363,0.4844843,3.35666
03229796,8.2661554,36.43296228,50.346417,2.86287,0,6.732319,1.324677,0.2091594,0,0,36.35017,0.08279228,0,0.03050242,0.178657,6.893547,43.45287,1.882435,0
03230450,10.96670729,24.58607549,60.04985,0,0,6.640555,4.272743,0.05340929,0,0,24.49706,0,0.08901549,0,4.201531,23.85615,36.1937,0.1958341,0
03230500,7.755585035,42.11273279,35.943186,8.575233,0,5.622133,1.952952,0.174582,0.005918035,0.2012132,41.12738,0.01479509,0.9705577,0,2.000296,7.693446,28.24974,1.621542,1.790206
03230800,4.205925,28.20978873,52.66772,8.8262,0,2.764218,1.441707,0,0,0,27.90896,0.2440686,0.05676013,0,4.364854,17.22102,35.4467,0.9081621,0.8173459
03230900,3.395438,27.8600025,45.93418,17.59969,0,2.211388,1.149225,0,0.034825,0,27.56399,0.1871844,0.1088281,0,3.443322,14.71356,31.22062,1.062163,0.7052063
03231000,3.22378553,29.2056589,46.26041,16.04156,0,1.996905,1.153194,0.04421192,0.02947461,0.007368654,26.46452,0.2247439,2.516395,0,3.043254,13.03515,33.22526,1.598998,0.6189669
03231500,14.3852574,18.4480043,36.566018,25.11772,0,8.114077,4.147787,1.530671,0.5927224,0.715836,17.6649,0.1865743,0.59653,0.04696087,0.9887167,3.194608,33.37141,0.6358756,3.09561
03232000,8.4565934,25.0058065,62.13506,0.5962983,0,4.782002,2.784016,0.7240765,0.1664989,0,20.12313,0.1471385,4.735538,0,2.698831,11.72462,50.41044,0.9951212,0.1122899
03232470,2.7580222,30.1356311,51.997188,12.30566,0,2.055078,0.5540854,0.1488588,0,0.09923916,20.70791,0.2315581,9.196163,0.04134965,2.141912,3.853788,48.1434,0.119914,0.4010916
03232500,5.40968537,37.6094021,29.640739,22.78903,0,3.942652,1.300325,0.1333667,0.03334167,0.008335417,37.4677,0.1417021,0,1.300325,2.608986,9.260649,20.38009,0.1833792,0.4501125
03234000,4.18984818,30.855063,49.749795,12.19035,0,2.999409,0.9946228,0.1802754,0.01554098,0.127436,23.62229,0.317036,6.915737,0.5936655,1.902216,6.350045,43.39975,0.09013769,0.301495
03234300,4.84046526,33.3613679,46.324515,12.64655,0,3.358892,1.155083,0.2893891,0.03710116,0.1014098,27.46723,0.3363839,5.557754,0.583725,1.753648,6.109325,40.21519,0.1310908,0.2572347
03234500,13.8497652,18.9428413,35.65739,26.30159,0,7.885455,3.94156,1.46918,0.5535702,0.7602831,18.14869,0.2137201,0.5804312,0.04321117,0.966996,3.12989,32.5275,0.6248102,2.853105
03237020,12.8040645,20.0685002,35.009155,27.32258,0,7.338927,3.589277,1.37301,0.5028505,0.7470331,19.35975,0.1945183,0.5142319,0.04345622,0.9239619,3.436145,31.57301,0.5535495,2.527703
03240000,4.8661803,29.7080295,58.87267,0.5758313,0,4.290349,0.4703974,0.1054339,0,0,29.18086,0.1297648,0.3974047,0,2.416869,8.39416,50.47851,0.0892133,3.471208
03244000,4.28040122,51.9510782,40.603917,0.3404148,0,3.776083,0.4223665,0.08195172,0,0.2332472,46.26489,0.2269432,5.459245,0.08195172,1.557083,8.649057,31.95486,0.07564773,0.8762529
