STAID,RIP800_DEV,RIP800_FOREST,RIP800_PLANT,RIP800_11,RIP800_12,RIP800_21,RIP800_22,RIP800_23,RIP800_24,RIP800_31,RIP800_41,RIP800_42,RIP800_43,RIP800_52,RIP800_71,RIP800_81,RIP800_82,RIP800_90,RIP800_95
03144816,13.0059689,23.1642268,61.97102,0.2436585,0,7.386743,4.404902,1.020667,0.1936569,0.005555732,23.06343,0.1007968,0,0.3817582,1.073844,15.337,46.63402,0.1404807,0.01349249
03145000,13.9611248,18.728123439,61.82542,3.753002,0,7.806741,4.42994,1.308257,0.4161868,0.005913344,18.60338,0.1233355,0.001407939,0.5144609,0.8123809,13.75697,48.06845,0.383241,0.01633209
03156000,6.81506056,24.27083006,68.25563,0.3595378,0,5.946514,0.8241093,0.04443726,0,0,23.94765,0.2868223,0.03635776,0.02827826,0.2504646,22.49333,45.7623,0.02019875,0
03157000,5.68606799,37.64177341,55.80373,0.1770412,0,5.131545,0.4437067,0.09580532,0.01501097,0.01015448,35.91198,1.680787,0.04900641,0.1324497,0.5169955,11.4547,44.34903,0.02693145,0.004856491
03157500,9.6919779,41.12530261,47.25799,0.6365131,0,6.793276,1.830437,0.7743348,0.2939301,0.1000738,39.328,1.782539,0.01476361,0.1811059,0.7678757,16.77985,30.47814,0.2355468,0.003607019
03219500,7.585413,6.752628603,83.559135,0.4505234,0,4.83975,2.101099,0.4298585,0.2147055,0.07504993,6.726667,0.02297751,0.002984093,0.0003730116,1.138954,4.794765,78.76437,0.03170598,0.4062096
03220000,9.4069571,13.330117,75.82723,0.4286803,0,5.443937,3.029201,0.7023457,0.2314734,0.1275085,13.1772,0.152917,0,0,0.6927884,13.77861,62.04862,0.002564156,0.1841531
03221000,8.4310351,8.017149031,81.311914,0.6522022,0,5.372678,2.433936,0.4405783,0.1838428,0.1486593,7.952312,0.06309527,0.001741761,0.005181737,1.122347,7.040414,74.2715,0.02595223,0.2855616
03223000,9.0174139,13.58616482,76.370976,0.2015324,0,5.783876,2.595438,0.4471338,0.1909661,0.01005085,13.2282,0.07937592,0.2785889,0.1128787,0.2845163,3.899986,72.47099,0.3961065,0.02035941
03224500,9.4563916,21.453899193,67.30638,0.6251028,0,6.822505,2.094897,0.3961202,0.1428694,0.01957116,21.18734,0.259905,0.006654193,0.2180227,0.2810418,8.91153,58.39485,0.631757,0.007828463
03225500,9.8753222,15.7235777,72.521828,0.9232941,0,6.150922,2.853042,0.5853462,0.286012,0.02164865,15.4665,0.1152166,0.1418611,0.1992092,0.3248338,5.078898,67.44293,0.3934225,0.01686097
03226800,14.554942,16.7465643,66.858188,0.9245385,0,7.724174,4.66125,1.574533,0.594985,0.01805541,16.50096,0.1306065,0.1149978,0.2251021,0.3318315,6.156728,60.70146,0.3266005,0.01417434
03227500,15.8902251,10.46562294,71.417925,0.8832883,0,7.612119,5.205097,2.105564,0.9674451,0.1310226,10.34696,0.0811332,0.03752974,0.07458207,0.8362634,6.323165,65.09476,0.1225353,0.1785249
03228500,8.45938404,25.876869474,61.28713,2.806012,0,6.799531,1.272315,0.3293124,0.05822564,0.0016877,25.67751,0.196406,0.002953474,0.3852174,0.6873156,13.91382,47.37331,0.4790957,0.01729892
03228805,8.08391053,25.44384337,60.374756,5.003123,0,5.655015,1.894176,0.4521811,0.08253843,0.01035776,25.17001,0.2440548,0.02977857,0.4185184,0.3550771,9.880336,50.49442,0.3052303,0.005178882
03229000,30.482738,21.41235699,43.442816,3.64142,0,11.72032,11.17959,5.550778,2.03205,0.007074153,21.21207,0.1799488,0.02033819,0.3543708,0.4217964,8.041986,35.40083,0.2338892,0.003537076
03229500,30.695889,21.99366517,43.30324,2.538849,0,12.91469,10.33137,5.179913,2.269916,0.00887842,21.77603,0.2061767,0.01145847,0.3486108,0.6708899,9.97464,33.3286,0.4150851,0.02488993
03229610,20.88888,13.21456188,63.037424,1.411935,0,9.235154,7.098762,3.149428,1.405536,0.1993928,13.07159,0.1099248,0.03304708,0.1396597,0.7749127,7.185614,55.85181,0.19896,0.1342773
03229796,14.4884287,14.451633863,69.78925,0.3168809,0,9.451818,3.710597,0.9286551,0.3973586,0,14.15904,0.2902945,0.002299363,0.2964741,0.4240887,12.69162,57.09763,0.228068,0.005173566
03230450,29.0094366,6.49297237,62.56806,0.3070786,0,11.96974,13.55103,3.377865,0.1108016,0.02532607,6.405914,0.06331518,0.02374319,0,1.562302,10.29821,52.26985,0.01741168,0.01741168
03230500,8.6614926,9.70234771,79.89003,0.5539682,0,5.394394,2.508874,0.5768027,0.1814219,0.04023233,9.552292,0.06457247,0.08548324,0,0.9337915,10.8317,69.05833,0.07787172,0.1402695
03230800,6.8053717,4.646682941,86.642705,0.5683034,0,3.971928,2.258757,0.4526526,0.1220341,0.006195577,4.635606,0.008073025,0.003003916,0,1.224659,9.351755,77.29095,0.03473278,0.07134301
03230900,6.4612911,5.924797153,84.84456,1.484806,0,3.944742,2.022241,0.3889226,0.1053855,0.007527534,5.767503,0.008311653,0.1489825,0,1.164102,9.32191,75.52265,0.04406744,0.06884558
03231000,6.0783208,5.974827426,85.473708,1.31178,0,3.875511,1.75169,0.349191,0.1019288,0.02932735,5.527618,0.009906126,0.4373033,0,1.011077,8.389968,77.08374,0.06295604,0.05800298
03231500,16.0203161,12.0473579,69.491131,1.187955,0,7.815948,5.172478,2.119107,0.9127831,0.1272376,11.80995,0.1117149,0.125693,0.109729,0.7315636,8.616211,60.87492,0.1628835,0.1218316
03232000,7.2406578,4.75634095,87.1122,0.2160439,0,4.484973,2.050354,0.5106663,0.1946645,0.05269821,3.11557,0.02437995,1.616391,0,0.5539875,3.74401,83.36819,0.0496976,0.01837873
03232470,6.3722963,9.80498309,82.504791,0.5427228,0,4.452756,1.44082,0.3289484,0.1497719,0.05445558,8.45337,0.08997009,1.261643,0.1836826,0.4938426,7.087321,75.41747,0.02245433,0.02077408
03232500,7.3560736,35.94020317,50.57452,2.539093,0,5.136622,1.497497,0.4505147,0.2714399,0.07378424,35.32327,0.5735782,0.04335497,1.073911,2.391794,22.22898,28.34554,0.005924282,0.0447014
03234000,6.3342434,19.8398611,70.67368,0.9043562,0,4.475765,1.381777,0.3187767,0.1579247,0.0573151,18.69813,0.2810802,0.8606509,0.7049346,1.446898,10.889,59.78468,0.01622901,0.02249463
03234300,5.9719418,23.1383463,67.29482,0.6955079,0,4.241236,1.331927,0.2690758,0.129703,0.05634142,22.12181,0.3683066,0.6482297,0.7420726,2.057051,10.82708,56.46774,0.0232288,0.02069539
03234500,13.4464908,16.0882348,67.744313,1.078672,0,6.903206,4.176466,1.654235,0.7125838,0.1083065,15.64547,0.2005165,0.2422483,0.263155,1.048153,9.200273,58.54404,0.1271797,0.09550117
03237020,12.5532425,22.7905577,62.049087,1.010576,0,6.67173,3.761842,1.483796,0.6358745,0.1028399,21.98503,0.5910907,0.214437,0.2871721,1.010181,9.376317,52.67277,0.1122647,0.08407647
03240000,8.5576675,9.77367877,78.691512,0.5370875,0,6.485523,1.454111,0.430618,0.1874155,0.001823107,9.459375,0.2825817,0.03172207,0,2.197574,7.617672,71.07384,0.004010837,0.2366394
03244000,9.0696164,24.2873516,64.854845,0.7789962,0,5.571486,2.297426,0.6743131,0.5263913,0.1186875,21.87719,0.2741366,2.136025,0.08752766,0.7651668,8.292545,56.5623,0.005951881,0.03186007
03244936,17.18598026,38.62836086,42.18107,0.1487585,0,12.11944,4.24691,0.72775,0.09188026,0,37.55132,0.9858898,0.09115106,1.10548,0.7007693,20.10501,22.07606,0.004375251,0.04521092
03245500,19.3508254,20.9747116,57.32273,1.001688,0,11.0214,6.163812,1.684778,0.4808354,0.1035491,18.7461,0.4670066,1.761605,0.2494866,0.8309985,12.11565,45.20708,0.01549897,0.1505137
03247050,7.3619415,27.7568627,62.399259,1.366233,0,5.264119,1.459397,0.4457198,0.1927057,0.2389637,26.44748,0.2225357,1.086847,0.1936784,0.5980037,9.497269,52.90199,0.006917087,0.07814147
03247500,9.3105083,32.0014631,56.142578,1.110055,0,6.303327,2.073585,0.7074056,0.2261907,0.1800726,30.6125,0.5439104,0.8450527,0.2575384,0.8507094,9.744268,46.39831,0.03064062,0.1164344
03255500,80.511756,10.47219723,8.252884,0.2843671,0,29.74937,28.50221,14.99088,7.269296,0.0124768,10.14936,0.3108803,0.01195693,0.07746014,0.366506,2.565542,5.687342,0,0.02235427
03259000,77.380912,15.3403054,5.823925,0.5199872,0,29.25976,29.25667,12.94645,5.918032,0.008242862,14.77773,0.5429986,0.0195768,0.08105481,0.8126088,2.040108,3.783817,0.002404168,0.03056728
03260700,26.7514735,13.0652947,59.04884,0.2952676,0,16.0028,7.873024,1.957169,0.9184805,0.08169458,12.96376,0.1015347,0,0,0.5461866,10.18498,48.86386,0,0.2112388
03260706,25.3210173,12.81308906,60.289335,0.2671595,0,15.28089,7.412883,1.791975,0.8352693,0.07391763,12.72122,0.09186906,0,0,1.007392,9.223865,51.06547,0,0.2280887
03261500,10.3354997,10.269099922,75.47678,2.233768,0,7.691411,1.989297,0.4719806,0.1828111,0.1016957,10.19321,0.07235268,0.003537242,0,1.184092,7.75267,67.72411,0.01422936,0.3848358
03261950,7.9187727,5.929762362,82.740718,1.299516,0,5.92757,1.462298,0.4138063,0.1150984,0.006028967,5.921267,0.007399186,0.001096176,0,1.952015,6.098848,76.64187,0.008769406,0.1444211
03262000,8.04359,8.1569354317,80.630374,0.9792237,0,5.925385,1.45376,0.4390168,0.2254282,0.06709174,8.102157,0.05414698,0.0006314517,0,1.924191,9.095114,71.53526,0.005840928,0.1927506
03262700,10.4808521,9.496878146,76.386034,1.742216,0,7.416036,2.128949,0.6560458,0.2798213,0.08626774,9.431395,0.06006514,0.005418006,0,1.461554,7.610244,68.77579,0.01069589,0.335496
03263000,11.2346756,9.32566999,75.984551,1.519214,0,7.561662,2.571155,0.783995,0.3178636,0.07318351,9.255794,0.05938319,0.0104928,0,1.522787,7.601581,68.38297,0.008705987,0.3312077
03264000,10.1458667,7.253537352,80.463231,0.3799113,0,6.97832,2.178174,0.6978806,0.2914921,0.08671889,7.23289,0.008744762,0.01190259,0.01408878,1.310014,3.291431,77.1718,0.02939212,0.3172405
03265000,8.5080976,5.841164387,83.563526,0.2385871,0,6.14453,1.613773,0.541153,0.2086416,0.05704765,5.824992,0.007730756,0.008441631,0.006220149,1.498434,3.442586,80.12094,0.01732756,0.269599
03266000,9.0353687,6.45682132,82.207784,0.3984455,0,6.502573,1.736764,0.5624059,0.2336258,0.05026212,6.415509,0.02756541,0.01374691,0.005441483,1.487673,3.879634,78.32815,0.02992816,0.328279
03266560,9.57594886,32.1731911,57.45795,0.3562986,0,7.681345,1.588074,0.2793833,0.02714656,0.009048852,31.62008,0.5531111,0,0,0.3189721,16.0176,41.44035,0,0.1085862
