STAID,CDL_CORN,CDL_COTTON,CDL_RICE,CDL_SORGHUM,CDL_SOYBEANS,CDL_SUNFLOWERS,CDL_PEANUTS,CDL_BARLEY,CDL_DURUM_WHEAT,CDL_SPRING_WHEAT,CDL_WINTER_WHEAT,CDL_WWHT_SOY_DBL_CROP,CDL_OATS,CDL_ALFALFA,CDL_OTHER_HAYS,CDL_DRY_BEANS,CDL_POTATOES,CDL_FALLOW_IDLE,CDL_PASTURE_GRASS,CDL_ORANGES,CDL_OTHER_CROPS,CDL_ALL_OTHER_LAND
03144816,9.155574,0,0,0,19.47038,0,0,0,0,0,0.5639923,0.2909248,0,0.01041674,0.3474728,0,0,0.02008943,0.1904776,0,0,69.950666141
03145000,15.44,0,0,0,16.50626,0,0,0,0,0,0.9033833,0.4607983,0,0.02185605,0.2721598,0,0,0.01066783,0.1938423,0,0.005984394,66.185054022
03156000,8.746591,0,0,0,14.76534,0,0,0,0,0,1.374414,0.8148563,0.04196684,0.1189061,1.070155,0,0,0.0279779,0.545569,0,0,72.49423475
03157000,13.14396,0,0,0,14.79944,0,0,0,0,0,2.313346,0.5984892,0,0.0338174,0.5131593,0,0,0.01336967,0.3149736,0,0.002359353,68.267099877
03157500,8.596204,0,0,0,8.735568,0,0,0,0,0,1.026096,0.2638878,0.00346527,0.03932328,0.5068334,0,0,0.01310776,0.1859946,0,0.0146143978,80.6149077892
03219500,22.61501,0,0,0.0002449799,36.32752,0,0,0,0,0,4.526248,0.1425171,0.009921686,0.1393936,0.5434267,0.001714859,0.0001224899,0.004164658,3.743354,0,0.17816161877,31.768201376
03220000,13.79024,0,0,0,28.17509,0,0,0,0,0,3.466378,0.1363814,0,0.04267983,0.5431978,0,0,0.01978792,2.817451,0,0.0038799838,51.0049085043
03221000,20.37666,0,0,0.0007767569,35.37739,0,0,0,0,0,4.254862,0.159906,0.005825676,0.1027791,0.5170023,0.001200442,7.061426e-05,0.007591033,2.958067,0,0.1088871988,36.1289713844
03223000,21.13449,0,0,0,33.31621,0,0,0,0,0,4.982415,0.5607001,0,0.03995592,0.3852892,0,0,0.005707988,0.4032913,0,0.002634456,39.16931231
03224500,15.45439,0,0,0,24.10418,0,0,0,0,0,5.065074,0.1824046,0.01760663,0.08415967,0.8053271,0,0,0.02253648,0.5965125,0,0.00140853,53.666401909
03225500,18.23962,0,0,0,31.55174,0,0,0,0,0,5.588486,0.2974806,0.004590205,0.06346841,0.5083652,0,0.0003530927,0.00918041,0.5126906,0,0.0758266564,43.148198963
03226800,16.49487,0,0,0,28.34262,0,0,0,0,0,4.935984,0.2422651,0.005069191,0.05414177,0.459677,0,0.0002816217,0.009152706,0.5789438,0,0.0751225854,48.801871117
03227500,17.51348,0,0,0.0005136596,30.44533,0,0,8.560994e-05,0,0,4.119058,0.1725254,0.005008181,0.07786223,0.4585054,0.0007704894,0.0001284149,0.008560994,2.013567,0,0.09066092614,45.093943439
03228500,12.04945,0,0,0,19.7609,0,0,0,0,0,2.909714,0.04160923,0,0.09091709,0.2918145,0,0,0.01026483,0.3953794,0,0.0120978383,64.4378485003
03228805,12.3912,0,0,0,24.31927,0,0,0.00165898,0,0,3.285887,0.2242388,0,0.01410133,0.3116117,0,0,0.005529934,0.3458973,0,0.0005529933,59.100054477
03229000,8.048115,0,0,0,15.87942,0,0,0.001075113,0,0,2.245015,0.1467529,0,0.009855201,0.212514,0,0,0.005017193,0.2628651,0,0.0003583709,73.189021596
03229500,7.947674,0,0,0,13.83414,0,0,0.000379213,0,0,1.922294,0.1008075,0.0002528087,0.03570923,0.2015517,0,0,0.03615164,0.3346555,0,0.0048033657,75.5815884888
03229610,14.83885,0,0,0.0003674078,25.58071,0,0,0.0001530866,0,0,3.49316,0.1724367,0.003643461,0.06467908,0.3870794,0.0005511117,9.185195e-05,0.0178499,1.538291,0,0.0660874766,53.836051125
03229796,16.3572,0,0,0,22.0706,0,0,0.006002408,0,0,2.251542,0.6667782,0.002043373,0.07509396,0.4308963,0,0,0.1844144,0.6214409,0,0.0075349386,57.326451917
03230450,12.48759,0,0,0,27.29027,0,0,0,0,0,2.509024,0.1076356,0,0.007423147,0.3145559,0,0,0.003711574,1.652578,0,0.051962027,55.575249517
03230500,22.85689,0,0,0,32.66443,0,0,0,0,0,3.165582,0.3989741,0.0005229018,0.0934687,0.4310018,0.0007843527,0.0002614509,0.01764794,1.567464,0,0.0534667137,38.7495005217
03230800,27.14614,0,0,0,37.51751,0,0,0,0,0,2.760814,0.221386,0,0.02589399,0.7984736,0,0,0.004542805,2.279731,0,0.0218054606,29.2237123393
03230900,26.06214,0,0,0,37.60244,0,0,0,0,0,2.670946,0.2119402,0,0.03926207,0.7294743,0,0,0.004751461,2.220433,0,0.0187557638,30.4398583308
