STAID,NITR_APP_KG_SQKM,PHOS_APP_KG_SQKM
03144816,3970.871,814.2578
03145000,4018.278,827.0245
03156000,4983.849,1007.267
03157000,4115.111,832.2231
03157500,3260.886,674.126
03219500,6557.577,1324.632
03220000,4833.656,983.5264
03221000,5863.023,1184.138
03223000,6523.468,1310.808
03224500,4264.118,862.1063
03225500,5809.595,1161.353
03226800,5288.57,1055.125
03227500,5288.376,1065.842
03228500,3660.263,727.6845
03228805,3693.174,734.7953
03229000,2857.313,576.955
03229500,2819.135,568.433
03229610,4571.388,921.1945
03229796,5199.508,1045.804
03230450,3308.898,639.004
03230500,5712.524,1123.136
03230800,6937.811,1331.865
03230900,6947.254,1337.67
03231000,6946.928,1344.748
03231500,5124.132,1023.147
03232000,7994.643,1550.766
03232470,7184.598,1412.781
03232500,3745.74,774.7786
03234000,6079.977,1205.505
03234300,5813.877,1153.603
03234500,5190.006,1035.038
03237020,4755.134,950.6445
03240000,6570.788,1295.726
03244000,6326.383,1249.201
03244936,2437.383,494.8403
03245500,4855.279,973.3585
03247050,4640.625,932.0364
03247500,4038.243,811.7027
03255500,1768.32,394.2629
03259000,1298.705,299.7504
03260700,4144.54,830.2108
03260706,4209.304,843.0858
03261500,5694.159,1147.956
03261950,8489.641,1938.438
03262000,7687.893,1686.414
03262700,6242.431,1295.887
03263000,6123.159,1261.854
03264000,9688.022,2419.285
03265000,9763.284,2434.108
03266000,9027.387,2211.121
03266560,3584.161,716.6774
03267000,5545.591,1101.362
03267900,5683.969,1127.012
03269500,5593.175,1106.476
03270000,5502.088,1088.548
03270500,6571.409,1433.423
03271000,3576.727,723.4261
03271300,1703.175,367.2858
03271500,6295.456,1370.252
03271601,6288.612,1368.723
03271800,7918.529,1795.643
03272000,7332.778,1632.198
03274000,6067.589,1318.315
03274650,6636.117,1297.436
03274750,6074.107,1201.431
03274950,6467.956,1341.52
03275000,6354.961,1275.722
03275500,6855.325,1551.988
03275600,6253.487,1364.635
03276000,6126.695,1307.735
03276500,5815.284,1207.917
03277000,4574.483,954.78
03294000,2743.532,557.9874
03322500,12657.92,3344.774
03322900,10798.57,2758.024
03322985,10536.33,2651.756
03323000,10422.39,2607.037
03323500,9706.995,2334.989
03324000,6325.447,1253.81
03324200,6665.399,1576.261
03324500,6677.914,1429.984
03325000,7874.537,1776.158
03325500,7787.278,1704.782
03326070,6151.973,1296.754
03326500,6488.679,1309.388
03327000,6402.928,1296.798
03327500,7407.719,1625.308
03328000,6309.667,1340.454
03328430,9590.908,2005.078
03328500,7116.16,1528.68
03329000,7380.253,1602.422
03329400,10712.3,2365.355
03329500,7523.007,1635.121
03329700,10352.07,2266.201
03330241,5352.354,1107.166
03330500,5777.912,1274.863
03331110,7198.462,1728.347
03331500,6864.39,1449.88
03331753,6850.049,1433.836
03332500,7389.661,1501.236
03333000,7437.936,1513.078
03333050,7451.873,1516.829
03333450,8865.547,1737.974
03333600,9238.458,1891.47
03333700,8504.651,1692.086
03334000,8877.954,1827.531
03334500,9181.169,1996.714
