STAID,PADCAT1_PCT_BASIN,PADCAT2_PCT_BASIN,PADCAT3_PCT_BASIN
03144816,0,0,0
03145000,0.02367738,0,3.647358
03156000,1.293978,0,0
03157000,7.203498,0,0
03157500,1.953885,0.1658809,0.7900062
03219500,0.2884026,0,1.341632
03220000,0,0,0
03221000,0.1662613,0.02549175,0.9691808
03223000,0,0,0
03224500,0,0,0.2507184
03225500,0,0,3.097241
03226800,0.121379,0.2455741,2.491085
03227500,0.1376822,0.1650988,1.353172
03228500,0,0,2.708083
03228805,0,0,10.03323
03229000,0.2607148,0.4291492,6.512316
03229500,0.122233,0.4904489,3.619589
03229610,0.1280876,0.2368862,1.847724
03229796,0.5743155,1.415547,0
03230450,0,0.01762998,0
03230500,0.2366106,1.529995,0
03230800,0,0,0.2886195
03230900,0,0,4.339835
03231000,0,0,3.741541
03231500,0.1596272,0.4511622,1.573083
03232000,0,0,0.1163555
03232470,0,0,2.790401
03232500,0.07854194,0,5.460028
03234000,0.02432471,0,2.985912
03234300,0.01726974,0,2.342724
03234500,0.1236429,0.5741163,1.944852
03237020,0.2047127,0.7310911,2.200209
03240000,0.3674231,0.04711246,0.9411663
03244000,0.1697467,0,1.31242
03244936,0,0,0
03245500,0.2907551,0.09821872,2.048636
03247050,0,0,5.788637
03247500,0,0,4.744166
03255500,0,0.02808588,1.443525
03259000,0,0.2804764,4.321253
03260700,0,0,0
03260706,0,0,0
03261500,0.04572694,0,2.076375
03261950,0,0,2.523236
03262000,0,0,1.492789
03262700,0.02676398,0,1.630576
03263000,0.02156969,0,1.415401
03264000,0,0,0.2558452
03265000,0.04551863,0,0.09843922
03266000,0.03511499,0,0.4188486
03266560,0,0,0
03267000,0.03461812,0,0.5667115
03267900,0.3022757,0,0.2974528
03269500,0.2820375,0,1.745845
03270000,0.2377313,0,1.643425
03270500,0.07905036,0,1.270385
03271000,0,0,5.521843
03271300,0,0,0
03271500,0.07315201,0,1.362199
03271601,0.0730324,0,1.359972
03271800,0,0,0
03272000,0,0,0.6869725
03274000,0.06628724,0,1.364966
03274650,0,0,0
03274750,0,0,0
03274950,0,0,0
03275000,0.03353148,0,0
03275500,0,0,0
03275600,0,0.110023,0
03276000,0.02999449,0.6409158,7.015521
03276500,0.02379827,0.1994062,2.183881
03277000,0.2130534,3.475855,0
03294000,0.1944191,0,10.77821
03322500,0.02186265,0,7.287251
03322900,0.01976003,0.003618033,4.499163
03322985,0.01779527,0.3096627,4.051807
03323000,0.01705299,0.2967461,3.882798
03323500,0.0313889,0.2238441,4.639442
03324000,0.1968278,0,0
03324200,0,0,0
03324500,0.08433705,0,3.242229
03325000,0.08400553,0.09469784,3.018259
03325500,0,0,0
03326070,0,0,0
03326500,0,0,0
03327000,0,0,2.772686
03327500,0.05948538,0.06273998,2.851141
03328000,0,0.003728039,0
03328430,0,0,0
03328500,0.006956792,0.001981365,0.002950032
03329000,0.04376659,0.04528299,2.038397
03329400,0,0,0
03329500,0.04065683,0.04206548,1.893579
03329700,0,0,0
03330241,0.387144,0.4188194,3.436431
