STAID,ECO3_SITE,HLR100M_SITE,HUC8_SITE,NUTR_ECO_SITE,USDA_LRR_SITE,ECO2_BAS_DOM,ECO3_BAS_DOM,ECO3_BAS_PCT,HLR_BAS_DOM_100M,HLR_BAS_PCT_100M,NUTR_BAS_DOM,NUTR_BAS_PCT,PNV_BAS_DOM,PNV_BAS_PCT
03144816,55,7,05040006,6,M,8.2,55,99.99999,7,69.77582,6,99.99999,46,89.48281
03145000,61,4,05040006,7,M,8.2,55,85.19021,6,38.82513,6,85.47371,46,77.09981
03156000,55,9,05030204,6,M,8.2,55,94.76364,9,99.66776,6,93.66207,48,41.08554
03157000,70,15,05030204,11,N,8.2,55,61.32195,9,75.07755,6,61.10634,48,54.38348
03157500,70,9,05030204,11,N,8.2,55,41.05205,9,74.01751,6,40.85186,48,65.18338
03219500,55,3,05060001,6,M,8.2,55,99.99999,3,92.10485,6,99.99999,60,64.36369
03220000,55,3,05060001,6,M,8.2,55,100,3,86.4089,6,100,46,51.06311
03221000,55,9,05060001,6,M,8.2,55,100,3,92.24673,6,100,60,55.17145
03223000,55,3,05060001,6,M,8.2,55,98.996,6,51.72573,6,98.89707,60,51.72886
03224500,55,8,05060001,6,M,8.2,55,78.61243,6,60.69807,6,78.38909,46,45.83005
03225500,55,3,05060001,6,M,8.2,55,94.23483,6,41.63503,6,94.13906,60,48.70393
03226800,55,6,05060001,6,M,8.2,55,95.40178,6,43.01427,6,95.3254,60,43.83435
03227500,55,3,05060001,6,M,8.2,55,98.60219,3,72.07651,6,98.57898,60,52.74405
03228500,55,6,05060001,6,M,8.2,55,72.53766,3,36.85111,6,72.58063,46,78.29336
03228805,55,7,05060001,6,M,8.2,55,89.70181,8,56.03946,6,89.60329,46,62.07101
03229000,55,6,05060001,6,M,8.2,55,93.32619,8,50.95384,6,93.26235,46,57.47803
03229500,55,6,05060001,6,M,8.2,55,88.17698,6,32.73126,6,88.16929,46,65.98446
03229610,55,3,05060001,6,M,8.2,55,96.13644,3,58.50167,6,96.11797,60,45.11739
03229796,55,6,05060001,6,N,8.2,55,99.99999,6,74.3595,6,99.99999,46,59.29958
03230450,55,3,05060001,6,M,8.2,55,100,3,99.81628,6,100,46,54.70396
03230500,55,3,05060001,6,M,8.2,55,100,3,52.45201,6,100,60,47.73904
03230800,55,3,05060002,6,M,8.2,55,100,6,80.37115,6,100,48,57.55658
03230900,55,6,05060002,6,M,8.2,55,99.99999,6,71.89692,6,99.99999,48,54.29807
03231000,55,6,05060002,6,M,8.2,55,100,6,64.15189,6,100,48,49.40539
03231500,70,5,05060002,11,M,8.2,55,97.61419,3,44.54803,6,97.59494,60,37.04745
03232000,55,9,05060003,6,M,8.2,55,99.99999,3,87.35056,6,99.99999,45,86.18683
03232470,55,9,05060003,6,M,8.2,55,100,3,72.47279,6,100,45,77.62797
03232500,55,9,05060003,6,M,8.2,55,99.9974,9,96.23228,6,99.98996,45,47.93313
03234000,70,4,05060003,11,M,8.2,55,94.90636,3,51.09771,6,94.89055,45,69.69055
03234300,70,7,05060003,11,M,8.2,55,88.05956,3,45.74934,6,87.9953,45,67.18869
03234500,70,9,05060002,11,N,8.2,55,92.86603,3,43.66373,6,92.83199,46,33.52445
03237020,70,4,05060002,11,N,8.2,55,83.77414,3,38.92594,6,83.74026,46,29.88509
03240000,55,9,05090202,6,M,8.2,55,100,3,55.15613,6,100,39,39.06165
03244000,55,7,05090202,6,M,8.2,55,100,7,35.08291,6,100,45,57.05504
03244936,55,7,05090202,6,M,8.2,55,100,7,99.61266,6,100,45,57.08035
03245500,55,11,05090202,6,N,8.2,55,100,7,39.39863,6,100,45,50.57241
03247050,55,11,05090202,6,M,8.2,55,99.99999,7,62.03867,6,99.99999,45,65.35537
03247500,55,11,05090202,6,M,8.2,55,100,7,61.39751,6,100,45,65.60848
03255500,55,11,05090203,6,N,8.2,55,100,11,38.03675,6,100,45,50.87468
03259000,55,11,05090203,6,N,8.2,55,98.80969,11,55.31352,6,98.76087,45,53.4865
03260700,55,6,05080001,6,M,8.2,55,99.99999,9,49.4423,6,99.99999,46,63.80967
03260706,55,6,05080001,6,M,8.2,55,100,9,44.65479,6,100,46,60.77993
03261500,55,6,05080001,6,M,8.2,55,100,6,47.38327,6,100,60,47.1775
03261950,55,8,05080001,6,M,8.2,55,99.99999,3,55.82056,6,99.99999,60,56.62785
03262000,55,9,05080001,6,M,8.2,55,100,3,49.50914,6,100,46,46.96409
03262700,55,3,05080001,6,M,8.2,55,100,6,47.63387,6,100,60,50.52822
03263000,55,8,05080001,6,M,8.2,55,100,6,45.33653,6,100,60,51.18338
03264000,55,3,05080001,6,M,8.2,55,100,3,52.01097,6,100,60,77.82164
03265000,55,3,05080001,6,M,8.2,55,100,6,51.25986,6,100,60,76.2859
03266000,55,7,05080001,6,M,8.2,55,100,3,56.0974,6,100,60,72.38626
03266560,55,9,05080001,6,M,8.2,55,100,9,95.73241,6,100,46,50.01538
03267000,55,3,05080001,6,M,8.2,55,100,9,49.06099,6,100,46,38.27589
03267900,55,3,05080001,6,M,8.2,55,100,3,26.50241,6,100,46,37.48988
03269500,55,3,05080001,6,M,8.2,55,100,3,33.2043,6,100,46,36.46419
03270000,55,7,05080001,6,M,8.2,55,100,3,38.4652,6,100,46,39.06285
03270500,55,3,05080001,6,M,8.2,55,100,3,38.79082,6,100,60,50.12895
03271000,55,11,05080002,6,M,8.2,55,100,3,60.85874,6,100,46,60.22593
03271300,55,7,05080002,6,M,8.2,55,100,7,99.50597,6,100,46,44.37144
03271500,55,11,05080002,6,M,8.2,55,99.99999,3,38.02869,6,99.99999,60,49.03605
03271601,55,11,05080002,6,M,8.2,55,100,3,37.96749,6,100,60,48.97523
03271800,55,7,05080002,6,M,8.2,55,99.99999,3,81.30627,6,99.99999,60,68.22789
03272000,55,7,05080002,6,M,8.2,55,99.99999,3,59.00555,6,99.99999,60,55.17464
03274000,55,4,05080002,6,M,8.2,55,100,3,35.13185,6,100,60,45.15117
03274650,55,6,05080003,6,M,8.2,55,100,6,99.32936,6,100,46,72.59869
03274750,55,7,05080003,6,M,8.2,55,100,7,70.93983,6,100,46,74.35693
03274950,55,7,05080003,6,M,8.2,55,100,7,98.85835,6,100,46,63.58403
03275000,55,7,05080003,6,N,8.2,55,100,7,46.21903,6,100,46,51.39371
03275500,55,7,05080003,6,M,8.2,55,100,9,36.02144,6,100,46,57.98888
03275600,55,7,05080003,6,M,8.2,55,100,7,39.8889,6,100,46,55.41785
03276000,71,11,05080003,9,N,8.2,55,99.84195,7,49.65293,6,99.82947,46,53.0258
