STAID,HGA,HGB,HGAD,HGC,HGD,HGAC,HGBD,HGCD,HGBC,HGVAR,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,NO4AVE,NO200AVE,NO10AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT
03144816,0,4.674559,0,76.61528,3.173357,0,0.7565011,14.7803,0,0,0.1477133,0.8797047,1.5683435,0.5154397,1.988664,59.27263,92.87854,72.78204,87.75563,27.47797,55.44875,17.07327,0.3713059,125.2086
03145000,0.01553861,5.656829,0,68.75311,5.615643,0,1.479693,18.47918,0,0,0.1496858,0.9817984,1.5600975,0.5534149,1.992751,59.46398,92.92355,72.56941,87.98279,26.98202,55.46474,17.55325,0.3667442,124.7005
03156000,0,18.56054,0,68.25977,3.589844,0,1.640624,7.94922,0,0,0.1400146,1.979316,1.5482855,0.4801484,3.332597,59.71383,87.37918,64.68585,81.54835,24.73483,54.21643,21.04875,0.3517441,125.1164
03157000,0,31.68983,0,53.52552,3.561302,0,1.645008,9.578337,0,0,0.1382804,1.893192,1.4990115,0.6037552,3.741053,53.77427,86.37429,63.27238,81.1139,24.27231,53.29558,22.43211,0.3482748,126.0578
03157500,0,33.98575,0,55.88555,3.952735,0,1.506413,4.669559,0,0,0.1345807,1.947608,1.501493,0.5508586,3.919451,53.19759,84.49649,62.80617,78.69495,25.01597,54.57954,20.40449,0.3548164,124.4731
03219500,0.01592921,3.232988,1.29548578999999,59.52175,5.958571,0,6.851776,23.1235,0,0,0.1491212,0.6834274,1.556693,2.129885,1.715068,59.99522,96.65098,80.314,92.67531,34.7103,51.86015,13.42956,0.3684696,123.5866
03220000,0.01027808,2.641032,1.130901,53.58854,22.09541,0,2.523495,18.01035,0,0,0.1394124,0.563936,1.569835,1.786246,1.983426,59.98651,96.7522,80.16368,92.75603,36.63428,49.78098,13.58474,0.3712593,125.9217
03221000,0.0110536,2.999528,1.201278,59.99949,7.730644,0,5.058781,22.99922,0,0,0.1469368,0.6721631,1.5628225,1.983673,1.803284,59.68526,96.5592,80.14118,92.4678,34.90753,51.67927,13.41321,0.3703806,124.4366
03223000,0,1.340784,0.3346725,70.92937,4.631194,0,4.770041,17.99394,0,0,0.144518,0.6255885,1.574159,0.9155543,1.532365,58.76432,94.59424,78.16501,90.43391,31.71558,54.69369,13.59073,0.3773046,121.1443
03224500,0,4.109362,0.7577117,78.10066,1.269895,0,0.9171362,14.84523,0,0,0.146169,0.7306235,1.5744975,1.251699,2.185586,59.96634,94.52392,75.44968,89.47237,30.24275,54.01125,15.746,0.3748385,122.2957
