STAID,PPT1950_AVG,PPT1951_AVG,PPT1952_AVG,PPT1953_AVG,PPT1954_AVG,PPT1955_AVG,PPT1956_AVG,PPT1957_AVG,PPT1958_AVG,PPT1959_AVG,PPT1960_AVG,PPT1961_AVG,PPT1962_AVG,PPT1963_AVG,PPT1964_AVG,PPT1965_AVG,PPT1966_AVG,PPT1967_AVG,PPT1968_AVG,PPT1969_AVG,PPT1970_AVG,PPT1971_AVG,PPT1972_AVG,PPT1973_AVG,PPT1974_AVG,PPT1975_AVG,PPT1976_AVG,PPT1977_AVG,PPT1978_AVG,PPT1979_AVG,PPT1980_AVG,PPT1981_AVG,PPT1982_AVG,PPT1983_AVG,PPT1984_AVG,PPT1985_AVG,PPT1986_AVG,PPT1987_AVG,PPT1988_AVG,PPT1989_AVG,PPT1990_AVG,PPT1991_AVG,PPT1992_AVG,PPT1993_AVG,PPT1994_AVG,PPT1995_AVG,PPT1996_AVG,PPT1997_AVG,PPT1998_AVG,PPT1999_AVG,PPT2000_AVG,PPT2001_AVG,PPT2002_AVG,PPT2003_AVG,PPT2004_AVG,PPT2005_AVG,PPT2006_AVG,PPT2007_AVG,PPT2008_AVG,PPT2009_AVG
03144816,123.1398,109.1616,92.76069,76.3297,91.08994,93.13585,112.1369,107.3139,101.9297,97.32183,76.00374,100.4206,92.37622,63.25008,106.9921,103.8023,100.4457,84.89514,103.5147,99.84007,108.1891,82.41735,110.1373,119.56,104.2458,105.0782,90.09199,100.0656,105.658,130.3887,101.1553,104.321,94.49442,99.22175,87.82177,98.62992,96.58513,73.24357,94.55494,116.9225,138.9551,76.12044,100.44,105.9727,89.19979,112.5046,120.5689,105.1096,103.6891,82.05895,109.2156,95.49799,99.53496,114.9237,117.7728,108.5945,107.0839,101.4082,108.5327,89.1951
03145000,120.5622,106.631,89.16562,74.73757,89.66199,91.63227,109.5936,103.3496,105.735,94.26904,77.33022,97.81263,91.92527,64.91553,104.5337,104.8001,103.2151,84.76898,104.4772,97.3748,105.8437,79.66384,103.6092,117.9849,107.0086,109.4829,94.03342,97.38429,110.2218,128.1128,103.7309,106.524,98.16812,102.5006,92.07051,103.3139,94.48551,75.21124,95.89626,120.3692,139.1392,76.40883,99.39813,107.3187,91.61972,111.3636,123.0976,109.9815,108.4789,83.45402,107.307,96.73157,100.5471,113.9147,122.4344,110.3809,107.3355,101.9569,111.2183,90.47753
03156000,117.1548,106.1906,92.01718,72.98393,88.73993,90.74562,105.5377,95.6999,105.2629,90.73287,73.96445,102.9213,90.53154,72.70624,98.30347,97.02133,103.5724,90.51474,94.52874,88.52701,106.1801,81.5835,104.6006,108.0402,99.73098,105.8131,90.2835,85.96843,101.743,127.1599,101.5678,85.60892,91.37552,105.731,85.29989,105.1081,86.94736,66.73088,92.40948,130.7166,134.1703,82.81672,98.18925,102.481,96.63268,103.2024,116.0177,103.8719,93.43371,83.65313,98.96902,89.77631,93.89778,116.8997,120.2891,97.985,106.6275,98.50643,109.1282,89.00814
03157000,117.7366,109.5226,90.55876,74.92617,91.22254,91.78511,109.4678,97.20079,104.8137,95.19612,79.09958,109.7987,96.45966,74.73944,101.4916,100.128,104.8987,90.33728,106.7359,88.89883,108.6838,84.26353,108.5194,108.1016,107.5784,112.7338,90.78414,91.46874,105.6342,124.6508,105.9216,90.19442,98.54631,106.9344,87.0357,101.4722,87.19392,66.31794,89.99648,125.3813,129.499,84.8017,92.17285,96.35429,98.38061,101.2948,118.515,106.2809,98.05908,83.62004,104.7168,94.56476,99.88245,118.3755,125.5577,97.06802,106.8777,98.96682,109.693,90.79644
03157500,113.7385,102.2972,85.08314,70.57382,88.2265,91.60229,107.2169,93.30579,107.733,94.73286,77.36008,108.4081,93.80929,75.38788,102.3471,99.49711,106.7641,89.50457,104.576,89.14147,105.8602,81.16399,108.0731,108.5554,108.6688,114.4645,92.68229,91.48936,105.5851,126.0574,108.3085,93.40092,99.29065,107.3134,88.14402,104.2423,89.0368,69.00195,90.30189,128.8788,132.0029,82.84419,94.23387,98.75908,95.63792,102.9746,120.0335,108.5786,101.6045,86.95835,103.8029,95.37836,99.62502,119.9693,126.8273,102.5185,106.029,99.88445,112.128,90.38636
03219500,110.7124,90.37864,84.61661,66.14214,83.85173,81.46531,83.7084,110.697,93.31462,95.18416,66.55146,92.25846,73.18613,60.55955,93.39247,81.43798,96.64971,92.90354,87.21765,101.8388,84.50732,81.25879,111.5461,105.7602,82.85948,91.17226,82.65274,91.36489,81.8374,108.0737,94.03671,92.23713,88.53063,94.97791,89.4298,98.88418,108.0664,85.39487,72.60041,93.37224,126.5538,62.47436,105.9981,98.3296,75.26912,99.51683,105.0357,87.08818,94.00908,82.13925,96.98938,93.73554,87.47408,118.2737,100.1945,99.46188,102.8983,107.1297,105.057,82.99487
03220000,112.8796,95.52925,92.02864,68.39197,88.55292,82.94053,89.63959,112.91,101.7216,100.0195,69.83899,103.088,75.80245,65.03336,101.0742,87.83445,96.55005,92.38295,95.54345,100.6075,87.78495,85.49951,113.0778,106.7254,90.04792,96.24191,80.68264,91.32225,84.91513,115.148,100.0876,96.17836,91.02484,95.44195,88.02766,97.4156,107.1553,72.66676,78.87739,98.58503,128.2483,64.92909,105.4306,109.1319,75.78985,107.5551,112.8701,88.72826,91.06608,79.53431,101.1507,100.5676,97.88242,121.7394,105.2313,106.5092,103.5328,103.4224,102.0844,83.56309
03221000,111.3738,92.31572,86.83724,66.69576,85.30853,81.87062,86.10981,111.2339,95.8795,96.87183,68.004,96.47495,74.17715,62.19955,97.30836,83.7278,97.04839,92.65389,90.36193,102.1078,85.92151,82.40942,112.7557,106.2745,85.49875,92.80984,82.22732,90.99603,83.24212,111.134,96.70917,93.28527,89.08002,95.34231,88.61444,98.63986,107.419,81.16655,75.02032,95.83782,126.8851,63.27683,105.4729,102.0779,75.7484,103.0348,107.4104,87.88041,92.99431,81.25819,98.7572,95.78321,90.86846,119.3152,102.2839,101.9257,102.9955,105.6253,103.6076,83.2358
03223000,119.4599,95.52333,88.52615,77.55064,92.94479,89.34719,96.86732,119.2153,96.33743,102.2828,76.41152,97.44902,77.17805,62.6038,104.3105,83.55446,99.72289,94.37037,89.03669,105.0844,97.09847,86.78506,121.0273,107.2202,97.34752,97.45068,88.26353,98.047,85.27407,115.8964,99.88834,105.9767,100.498,98.66083,96.35148,106.2712,112.064,97.57945,74.37813,94.88929,135.5056,65.92122,108.3832,97.39803,84.70793,106.2811,113.1947,92.15926,99.79617,86.15553,104.1999,93.41597,94.47773,122.8369,112.1222,107.6153,110.6609,113.4637,108.8819,89.89185
03224500,117.416,96.53586,85.93761,73.9246,93.23613,91.31274,92.68536,112.5692,94.40449,104.5167,74.89653,103.8037,76.73178,65.19705,105.1682,84.97388,98.49531,96.5468,91.07496,109.6155,93.19725,86.65491,126.5092,103.9643,94.42136,93.43018,88.3858,95.90298,84.41376,118.2391,101.5934,99.45083,102.9084,95.14526,95.35197,104.959,110.2505,96.49493,78.61725,99.34418,136.9411,67.74366,109.2158,101.6124,83.07023,110.1179,112.3865,93.04398,100.5598,87.47219,106.2668,94.07351,95.81838,122.6016,108.6911,103.2172,107.8058,108.3182,105.1539,89.03834
