STAID,TMP1950_AVG,TMP1951_AVG,TMP1952_AVG,TMP1953_AVG,TMP1954_AVG,TMP1955_AVG,TMP1956_AVG,TMP1957_AVG,TMP1958_AVG,TMP1959_AVG,TMP1960_AVG,TMP1961_AVG,TMP1962_AVG,TMP1963_AVG,TMP1964_AVG,TMP1965_AVG,TMP1966_AVG,TMP1967_AVG,TMP1968_AVG,TMP1969_AVG,TMP1970_AVG,TMP1971_AVG,TMP1972_AVG,TMP1973_AVG,TMP1974_AVG,TMP1975_AVG,TMP1976_AVG,TMP1977_AVG,TMP1978_AVG,TMP1979_AVG,TMP1980_AVG,TMP1981_AVG,TMP1982_AVG,TMP1983_AVG,TMP1984_AVG,TMP1985_AVG,TMP1986_AVG,TMP1987_AVG,TMP1988_AVG,TMP1989_AVG,TMP1990_AVG,TMP1991_AVG,TMP1992_AVG,TMP1993_AVG,TMP1994_AVG,TMP1995_AVG,TMP1996_AVG,TMP1997_AVG,TMP1998_AVG,TMP1999_AVG,TMP2000_AVG,TMP2001_AVG,TMP2002_AVG,TMP2003_AVG,TMP2004_AVG,TMP2005_AVG,TMP2006_AVG,TMP2007_AVG,TMP2008_AVG,TMP2009_AVG
03144816,10.03074,10.44596,11.39448,11.81214,11.4744,11.19835,10.9319,10.95219,9.403147,11.32989,10.0841,10.44213,9.944423,9.524155,10.79507,10.68186,9.844646,10.05957,10.34983,10.01936,10.71801,10.59416,9.931675,11.6308,10.73938,11.02094,9.612984,10.35584,9.428048,9.735724,10.13885,9.990361,10.48673,10.86713,10.50459,10.44855,11.37362,11.66135,10.40367,9.979645,11.8643,12.29178,10.70093,10.7864,10.71766,10.46081,10.18718,10.00371,12.35736,11.42127,10.45502,11.36253,11.4744,10.09283,10.67273,10.83677,11.0437,10.75512,10.05282,9.962448
03145000,10.0605,10.40463,11.29226,11.80405,11.42601,11.17894,10.78154,10.83734,9.436473,11.39025,10.03248,10.45321,9.957138,9.503251,10.83083,10.66481,9.851252,10.11188,10.1945,9.943568,10.72243,10.601,10.01034,11.57512,10.72811,10.99724,9.66128,10.31729,9.364107,9.579224,10.04792,9.95366,10.45424,10.78123,10.41669,10.35443,11.24301,11.46463,10.24578,9.840761,11.71161,12.06793,10.45322,10.56174,10.3469,10.09041,9.8296,9.972803,12.3601,11.41075,10.4931,11.3464,11.46572,10.09357,10.6389,10.73474,11.14919,10.85993,10.12444,10.06754
03156000,10.58844,10.71672,11.7256,12.6989,12.43703,12.21782,11.20475,11.555,10.23886,12.35245,10.64848,10.89584,10.32198,9.809638,11.24981,11.01343,10.06906,10.22402,10.2524,10.1284,10.64504,10.55784,9.986275,11.74902,10.87797,11.2188,9.845023,10.46671,9.548635,9.707932,10.10377,10.01094,10.43786,10.73053,10.32216,10.09972,11.36697,11.613,10.35355,9.898008,11.85317,12.05307,10.50145,10.5875,10.53696,10.41521,10.20419,10.0271,12.47372,11.64104,10.6952,11.6637,11.86113,10.26149,10.87008,10.96349,11.68923,11.45567,10.71706,10.69462
03157000,10.56914,10.67727,11.63579,12.72534,12.47334,12.23949,11.12402,11.55592,10.21901,12.37208,10.60196,10.83646,10.22999,9.739562,11.18714,10.93476,9.985713,10.14271,10.19753,9.978168,10.57678,10.42076,9.836115,11.6035,10.78073,11.07169,9.751359,10.37148,9.412151,9.638608,9.979841,9.926006,10.37066,10.645,10.23135,10.01547,11.28743,11.52967,10.26066,9.786825,11.73916,11.9259,10.36109,10.4655,10.44983,10.32727,10.14845,10.04822,12.32219,11.46964,10.55954,11.45422,11.67391,10.32847,10.93634,10.99648,11.65863,11.41725,10.68766,10.68882
03157500,10.42468,10.62425,11.51383,12.41711,12.0404,11.9603,11.10071,11.37694,10.03094,12.09869,10.35846,10.78545,10.26257,9.802515,11.23929,10.94711,9.978154,10.2394,10.0984,9.95498,10.68523,10.46737,10.06298,11.64751,10.83142,11.1569,9.796033,10.42954,9.482115,9.637592,10.02801,10.09031,10.53635,10.85281,10.45159,10.25805,11.28054,11.39577,10.21286,9.748302,11.57289,11.72993,10.163,10.26903,10.15022,9.995022,9.807567,9.9214,12.19631,11.27238,10.43827,11.29489,11.56946,10.22041,10.79735,10.85174,11.58181,11.3569,10.59077,10.58467
03219500,9.60961,9.880609,11.07317,11.35613,10.89724,10.88323,10.42691,10.41649,9.119066,10.77425,9.654935,10.0193,9.647305,9.288893,10.49499,10.28803,9.527961,9.619449,9.883998,9.629053,10.37504,10.30667,9.575091,11.14297,10.04195,10.3701,9.284395,9.868451,8.836938,9.245966,9.505424,9.474544,9.950831,10.49887,10.10274,10.11149,10.75909,11.25825,10.04649,9.478923,11.37169,11.64077,9.993304,9.981246,10.154,9.909528,9.479025,9.650927,12.02472,10.93321,10.00876,10.98663,11.15438,9.736481,10.27877,10.44341,11.09151,10.8031,9.880951,9.814181
03220000,9.947101,10.27692,11.3643,11.7333,11.44207,11.16508,10.76823,10.73084,9.296775,11.03122,9.819961,10.20984,9.966571,9.521235,10.73422,10.70569,9.896847,10.03727,10.19008,9.906939,10.79712,10.74441,10.08648,11.55854,10.58941,10.90306,9.805637,10.28903,9.324097,9.623121,10.00501,10.04094,10.38076,10.87265,10.51625,10.40331,11.11046,11.38736,10.17867,9.730106,11.69188,11.9379,10.32441,10.37697,10.4917,10.14167,9.719216,9.882295,12.29372,11.33369,10.45041,11.43133,11.48863,10.16397,10.83259,10.91646,11.37895,11.11708,10.23536,10.18955
03221000,9.731305,10.02686,11.16686,11.48007,11.08557,10.9752,10.53395,10.51694,9.184652,10.86917,9.728239,10.10259,9.774344,9.366314,10.57057,10.43084,9.654503,9.757572,9.981996,9.729478,10.50804,10.44426,9.733229,11.27659,10.22054,10.55277,9.45371,10.0031,8.993338,9.362653,9.676996,9.672855,10.10484,10.62942,10.24154,10.20992,10.88914,11.29872,10.09729,9.576431,11.49488,11.75676,10.12947,10.14321,10.27742,10.01184,9.598224,9.761837,12.13588,11.09697,10.18551,11.15948,11.29254,9.903976,10.48412,10.62869,11.22048,10.94329,10.03957,9.975437
03223000,9.285587,9.654277,10.60084,10.86827,10.56388,10.36772,9.7448,9.967288,8.711647,10.31299,9.170793,9.633852,9.209785,8.78385,10.01742,9.800675,9.064349,9.237559,9.352905,9.147127,9.827757,9.761958,9.05057,10.74628,9.476282,9.962083,8.761173,9.407121,8.34774,8.786054,8.791681,9.138345,9.448146,9.86638,9.349102,9.398005,10.20802,10.62354,9.421214,9.038767,10.89539,11.18606,9.541458,9.605687,9.621523,9.469176,9.093332,9.170607,11.41866,10.31435,9.435732,10.48341,10.62592,9.153773,9.522178,9.965238,10.74259,10.42812,9.512543,9.384978
03224500,9.357869,9.706347,10.64262,10.95031,10.59606,10.3619,9.870806,10.01608,8.742955,10.38857,9.262853,9.680759,9.257845,8.773846,10.01341,9.870507,9.075482,9.268883,9.372207,9.19813,9.906942,9.806647,9.073919,10.76003,9.512485,9.982842,8.772262,9.477016,8.481787,8.837579,8.940679,9.220737,9.548754,9.922416,9.415203,9.446625,10.2319,10.56446,9.363653,9.070863,10.94515,11.25199,9.605182,9.671633,9.657055,9.495727,9.14165,9.194219,11.48797,10.36766,9.482149,10.46004,10.63878,9.185475,9.586314,9.964576,10.68705,10.40096,9.544598,9.391612
