STAID,data_availability [hrs],1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
03144816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03145000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03156000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03157000,269412,0,0,0,0,0,0,0,0,0,0,2203,8350,8087,8092,5826,6172,5179,7799,7612,6743,6911,7919,7243,7728,7920,8136,8736,8135,7917,7685,7415,7627,8759,8039,7585,7965,8303,8576,8522,8751,8784,8649,8616,8760,8668
03157500,280503,0,0,0,0,0,0,0,0,0,0,2203,8542,8687,8356,8154,7444,8105,8495,8524,8183,7847,7895,8033,7728,8064,8375,8735,7992,8088,7900,7416,7435,8544,8304,7536,7631,7704,8451,8654,8760,8000,8606,8760,8755,8597
03219500,283310,0,0,0,0,0,0,0,0,0,2919,4282,8279,8580,8628,7624,7679,8110,8107,8133,7266,7844,7689,7502,7402,7751,8412,8661,7991,8389,7557,7292,7843,8601,8472,8300,7338,8352,8634,8630,8759,8667,8303,7895,8759,8660
03220000,265563,0,0,0,0,0,0,0,0,0,0,2203,8423,7247,7924,7722,5452,2203,8375,8548,7698,7540,7749,7986,6670,7804,6427,8758,7989,7884,7069,7290,7651,8640,8424,7584,7560,8375,8637,8462,8759,8784,8057,8273,8760,8636
03221000,291740,0,0,0,0,0,0,0,0,0,0,2107,8735,8380,8154,8614,7847,8663,8759,8615,8687,7780,7890,8687,8015,8784,8541,8367,8760,8183,8256,8568,8760,8448,8760,8663,8758,8711,8760,8760,8760,8660,8687,8090,8753,8778
03223000,61336,0,0,0,0,0,0,0,0,0,0,2203,7876,7626,7252,7367,7007,7578,7871,6556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03224500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03225500,299131,0,0,0,0,0,0,0,0,0,0,2203,8735,8614,8039,8758,8759,8783,8758,8759,8759,8783,8711,8759,8755,8784,8760,8760,8760,8784,8760,8736,8760,8736,8760,8688,8760,8783,8757,8760,8760,8784,8760,8760,8760,8784
03226800,238464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2203,8591,8759,8590,8140,7560,8466,8015,8640,8760,8396,8563,8542,8135,8306,8443,8784,8472,8160,7847,8366,8647,8476,8760,8784,8760,8629,8759,7911
03227500,280850,0,0,0,0,0,0,0,0,0,0,2202,5639,7655,8711,8452,7654,8322,8471,8617,8093,7895,7892,8416,6554,5531,8105,8638,8723,8395,8539,7377,7785,8638,8568,8760,8759,8784,8760,8671,8749,8776,8758,8727,8450,8784
03228500,294917,0,0,0,0,0,0,0,0,0,0,2202,8183,8668,8538,8446,8759,8687,8567,8711,7775,8447,7872,8659,8759,8256,8760,8758,8756,8782,8664,8732,8639,8784,8760,8760,8712,8376,8760,8659,8640,8784,8760,8758,8760,8784
03228805,283255,0,0,0,0,0,0,0,0,0,0,2203,8759,6508,2203,8663,8567,8711,7727,8591,8567,8758,8687,8758,8759,8062,7871,8580,8259,8777,7414,8470,8650,8272,8256,8352,8736,8446,8530,8694,8719,8772,8747,8760,8760,8667
