site_id,observed_date,streamflow_cfs_max,classification
06006000,2008-06-23,156.0,Q2
06006000,2011-06-30,245.0,Q10
06006000,2012-06-06,154.0,Q2
06006000,2014-05-29,155.0,Q2
06006000,2017-06-13,181.0,Q2
06006000,2018-06-01,175.0,Q2
06006000,2019-06-08,184.0,Q2
06006000,2022-06-13,231.0,Q10
06006000,2023-06-15,184.0,Q2
06012500,2009-06-03,651.0,Q2
06012500,2011-06-13,895.0,Q25
06012500,2014-06-01,717.0,Q2
06012500,2015-06-03,769.0,Q5
06012500,2016-06-06,655.0,Q2
06012500,2018-04-29,698.0,Q2
06012500,2019-06-05,707.0,Q2
06012500,2020-05-01,707.0,Q2
06012500,2021-06-23,665.0,Q2
06012500,2023-05-30,783.0,Q5
06016000,2010-06-18,1130.0,Q10
06016000,2011-08-01,1170.0,Q10
06016000,2013-07-18,1050.0,Q2
06016000,2017-03-15,1010.0,Q2
06016000,2018-06-19,1200.0,Q25
06016000,2023-07-23,1020.0,Q2
06017000,2009-06-22,452.0,Q2
06017000,2009-10-19,459.0,Q2
06017000,2010-06-18,584.0,Q2
06017000,2011-06-10,801.0,Q10
06017000,2017-03-15,700.0,Q5
06017000,2018-06-22,881.0,Q10
06017000,2019-05-06,585.0,Q2
06017000,2020-05-02,480.0,Q2
06017000,2024-04-16,717.0,Q5
06018500,2009-06-22,584.0,Q2
06018500,2009-10-20,776.0,Q5
06018500,2010-05-30,603.0,Q2
06018500,2010-06-19,713.0,Q2
06018500,2010-11-09,630.0,Q2
06018500,2011-06-12,863.0,Q5
06018500,2017-03-16,759.0,Q5
06018500,2018-06-24,1020.0,Q10
06018500,2019-04-10,683.0,Q2
06018500,2024-04-14,723.0,Q2
06019500,2008-05-20,1190.0,Q2
06019500,2009-05-20,989.0,Q2
06019500,2010-06-05,1150.0,Q2
06019500,2011-06-08,1860.0,Q50
06019500,2017-05-13,1130.0,Q2
06019500,2018-05-25,1040.0,Q2
06019500,2020-06-01,1030.0,Q2
06019500,2022-06-14,1430.0,Q5
06019500,2023-05-26,1280.0,Q5
06020600,2008-05-22,1040.0,Q2
06020600,2010-06-05,1070.0,Q2
06020600,2011-06-10,1750.0,Q10
06020600,2014-05-29,953.0,Q2
06020600,2017-05-14,1120.0,Q2
06020600,2018-05-25,948.0,Q2
06020600,2020-06-01,946.0,Q2
06020600,2022-06-14,1660.0,Q10
06020600,2023-05-26,1350.0,Q5
06023100,2010-06-19,2830.0,Q25
06023100,2011-07-01,2900.0,Q25
06023100,2018-06-28,1450.0,Q5
06023100,2018-10-02,932.0,Q2
06023100,2023-09-05,902.0,Q2
06024450,2009-04-23,2630.0,Q2
06024450,2009-06-08,2190.0,Q2
06024450,2009-06-22,2360.0,Q2
06024450,2010-06-06,2030.0,Q2
06024450,2010-06-17,3970.0,Q5
06024450,2011-05-26,2030.0,Q2
06024450,2011-06-10,3500.0,Q5
06024450,2012-04-28,2370.0,Q2
06024450,2017-06-14,4550.0,Q10
06024450,2018-06-02,3160.0,Q2
06024450,2018-06-19,2220.0,Q2
06024450,2020-06-18,4510.0,Q10
06024540,2008-05-22,4900.0,Q2
06024540,2009-05-27,4690.0,Q2
06024540,2010-06-18,5630.0,Q2
06024540,2011-06-10,6660.0,Q5
06024540,2012-04-28,4280.0,Q2
06024540,2014-05-28,4770.0,Q2
06024540,2017-06-15,7300.0,Q10
06024540,2018-06-02,5850.0,Q5
06024540,2018-06-20,5030.0,Q2
06024540,2020-05-22,5110.0,Q2
06024540,2020-06-19,6770.0,Q5
06025250,2008-05-21,7840.0,Q2
06025250,2009-05-25,8090.0,Q2
06025250,2010-06-18,9750.0,Q5
06025250,2011-06-10,11100.0,Q10
06025250,2014-05-27,8520.0,Q2
06025250,2017-06-15,8860.0,Q2
06025250,2018-05-27,10200.0,Q5
06025250,2020-05-22,7100.0,Q2
06025250,2020-06-19,8870.0,Q2
06025500,2008-05-21,7660.0,Q2
06025500,2009-06-01,7980.0,Q2
06025500,2010-06-18,10000.0,Q5
06025500,2011-06-10,11700.0,Q10
06025500,2014-05-27,8640.0,Q2
06025500,2017-06-15,9330.0,Q5
06025500,2018-05-27,10300.0,Q5
06025500,2020-05-22,6830.0,Q2
06025500,2020-06-19,8780.0,Q2
06026210,2008-05-21,8260.0,Q2
06026210,2009-06-01,8470.0,Q2
06026210,2010-06-18,10400.0,Q5
06026210,2011-06-10,11900.0,Q10
06026210,2014-05-29,8390.0,Q2
06026210,2017-06-15,9100.0,Q2
06026210,2018-05-27,11100.0,Q10
06026210,2020-05-22,6940.0,Q2
06026210,2020-06-19,8450.0,Q2
06026420,2009-06-02,8120.0,Q2
06026420,2010-06-19,9500.0,Q5
06026420,2011-06-13,11500.0,Q10
06026420,2012-04-28,6140.0,Q2
06026420,2014-05-28,7950.0,Q2
06026420,2017-06-16,7710.0,Q2
06026420,2018-05-26,9250.0,Q5
06026420,2020-06-20,7760.0,Q2
06026420,2022-06-14,5790.0,Q2
06026500,2008-05-22,8320.0,Q2
06026500,2009-06-02,9150.0,Q2
06026500,2010-06-19,11600.0,Q5
06026500,2011-06-11,13400.0,Q10
06026500,2012-04-28,7670.0,Q2
06026500,2014-05-30,9350.0,Q2
06026500,2017-06-16,10400.0,Q2
06026500,2018-05-28,12400.0,Q5
06026500,2020-06-20,9560.0,Q2
06033000,2009-05-30,1470.0,Q2
06033000,2010-06-17,2140.0,Q5
06033000,2011-06-07,3650.0,Q50
06033000,2014-05-25,1570.0,Q2
06033000,2018-05-11,2740.0,Q10
06033000,2018-06-20,1940.0,Q5
06033000,2019-05-17,1510.0,Q2
06033000,2020-05-20,1450.0,Q2
06033000,2023-05-05,1500.0,Q2
06035000,2010-07-03,374.0,Q5
06035000,2011-07-01,368.0,Q5
06035000,2014-06-27,245.0,Q2
06035000,2015-06-04,281.0,Q2
06035000,2017-06-13,300.0,Q2
06035000,2018-06-22,389.0,Q5
06035000,2019-04-21,244.0,Q2
06035000,2019-06-08,393.0,Q5
06035000,2022-06-13,281.0,Q2
06035000,2023-06-04,430.0,Q10
06036650,2008-06-07,8600.0,Q2
06036650,2009-06-02,10100.0,Q2
